"STATION","STATION_NAME","DATE","TPCP","MNTM"
"GHCND:USC00235671","MOBERLY MO US",19441001,1.56,57.7
"GHCND:USC00235671","MOBERLY MO US",19441101,3.87,44.2
"GHCND:USC00235671","MOBERLY MO US",19441201,0.92,24.6
"GHCND:USC00235671","MOBERLY MO US",19450101,0.57,24.6
"GHCND:USC00235671","MOBERLY MO US",19450201,0.71,31.8
"GHCND:USC00235671","MOBERLY MO US",19450301,4.58,50
"GHCND:USC00235671","MOBERLY MO US",19450401,8.39,54.1
"GHCND:USC00235671","MOBERLY MO US",19450501,3.67,58.8
"GHCND:USC00235671","MOBERLY MO US",19450601,6.61,67.3
"GHCND:USC00235671","MOBERLY MO US",19450701,2.52,73.2
"GHCND:USC00235671","MOBERLY MO US",19450801,3.55,75.4
"GHCND:USC00235671","MOBERLY MO US",19450901,8.43,66.7
"GHCND:USC00235671","MOBERLY MO US",19451001,0.96,54.9
"GHCND:USC00235671","MOBERLY MO US",19451101,0.82,43.9
"GHCND:USC00235671","MOBERLY MO US",19451201,1.02,22.5
"GHCND:USC00235671","MOBERLY MO US",19460101,2.19,30.7
"GHCND:USC00235671","MOBERLY MO US",19460201,0.98,36.5
"GHCND:USC00235671","MOBERLY MO US",19460301,2.45,53.6
"GHCND:USC00235671","MOBERLY MO US",19460401,2.85,57.6
"GHCND:USC00235671","MOBERLY MO US",19460501,3.32,60.1
"GHCND:USC00235671","MOBERLY MO US",19460601,4.23,72.7
"GHCND:USC00235671","MOBERLY MO US",19460701,1.85,77.9
"GHCND:USC00235671","MOBERLY MO US",19460801,3.7,72.1
"GHCND:USC00235671","MOBERLY MO US",19460901,1.74,66.7
"GHCND:USC00235671","MOBERLY MO US",19470301,2.71,33.1
"GHCND:USC00235671","MOBERLY MO US",19470401,6.2,51.4
"GHCND:USC00235671","MOBERLY MO US",19470501,4.68,60.3
"GHCND:USC00235671","MOBERLY MO US",19470601,9.02,70.2
"GHCND:USC00235671","MOBERLY MO US",19470701,1.95,73.8
"GHCND:USC00235671","MOBERLY MO US",19470801,0.35,83.3
"GHCND:USC00235671","MOBERLY MO US",19470901,5.42,71.1
"GHCND:USC00235671","MOBERLY MO US",19471001,2.5,63.9
"GHCND:USC00235671","MOBERLY MO US",19471101,2.18,37.4
"GHCND:USC00235671","MOBERLY MO US",19480101,0.22,21.7
"GHCND:USC00235671","MOBERLY MO US",19480201,0.46,29.3
"GHCND:USC00235671","MOBERLY MO US",19480301,4.27,39.7
